id,cities,registration_date,start_date,days_reg_to_start,is_prospective,start_2006_2018,iv_status,recruitment_status,iv_interventional,study_type
NCT02468999,Tübingen,2015-03-24,2015-01-01T00:00:00Z,-82,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02469012,Würzburg,2015-05-05,2014-10-01T00:00:00Z,-216,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02470013,Berlin,2015-01-14,2014-11-01T00:00:00Z,-74,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02470026,Berlin,2015-05-31,2014-06-01T00:00:00Z,-364,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02470078,Münster,2015-06-03,2015-07-01T00:00:00Z,28,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02471963,Erlangen,2015-06-05,2014-12-01T00:00:00Z,-186,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02472691,Düsseldorf,2015-05-20,2015-05-01T00:00:00Z,-19,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02475252,Bochum,2015-05-03,2015-04-01T00:00:00Z,-32,FALSE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT02475603,Mannheim,2015-06-10,2012-09-01T00:00:00Z,-1012,FALSE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02475772,Bochum,2014-03-27,2016-11-01T00:00:00Z,950,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02476370,Duisburg,2015-06-16,2015-06-01T00:00:00Z,-15,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT02476500,Bochum,2015-05-03,2015-05-01T00:00:00Z,-2,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT02478021,Berlin,2015-06-11,2014-09-01T00:00:00Z,-283,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
